,logs,T,Tstd
0,-3.0,336.9688,263.5249729488588
1,-2.9,314.6503,233.81209254307598
2,-2.8,301.1073,217.9144269121612
3,-2.7,286.0834,200.50286477833282
4,-2.6,274.1333,185.60265182789433
5,-2.5,257.837,169.72245049497783
6,-2.4,243.5298,154.63308459396748
7,-2.3,233.52,145.63468867771385
8,-2.2,224.291,140.06330601542007
9,-2.1,211.1935,128.8679834305843
10,-2.0,203.9291,124.16092165668177
11,-1.9,194.5791,116.34108675801858
12,-1.7999999999999998,185.4675,111.98179019770843
13,-1.7,180.9046,109.64871537285921
14,-1.6,175.7607,106.62298289561286
15,-1.5,171.1783,107.73353312931887
16,-1.4,166.6918,105.24243065266485
17,-1.2999999999999998,165.3477,105.2694968706849
18,-1.2,162.0519,103.61661375790402
19,-1.1,162.0349,104.27419140271128
20,-1.0,161.8189,104.6296441694891
